"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGAP006254",0.00484657719408115,-0.640231674465077,0.105,0.374,1,"C_5","AGAP006254"
"AGAP004028.1",0.00490627947986795,-0.368954569600185,0.026,0.234,1,"C_5","AGAP004028"
"AGAP009389",0.00490627947986795,-0.377514642350707,0.026,0.234,1,"C_5","AGAP009389"
"AGAP004397.1",0.00490627947986795,-0.579218550677651,0.026,0.234,1,"C_5","AGAP004397"
"AGAP010267.1",0.00490627947986795,-0.639643206472001,0.026,0.234,1,"C_5","AGAP010267"
"AGAP002330.2",0.00490627947986795,-0.652605334136541,0.026,0.234,1,"C_5","AGAP002330"
"AGAP000633",0.00490627947986795,-0.675766818554005,0.026,0.234,1,"C_5","AGAP000633"
"AGAP010303.1",0.00490627947986795,-0.76108619316434,0.026,0.234,1,"C_5","AGAP010303"
"AGAP001627",0.00490627947986795,-0.77400957358611,0.026,0.234,1,"C_5","AGAP001627"
"AGAP002970",0.00490627947986795,-0.775258658977872,0.026,0.234,1,"C_5","AGAP002970"
"AGAP001779",0.00490627947986795,-0.872791567922344,0.026,0.234,1,"C_5","AGAP001779"
"AGAP006819",0.00490627947986795,-0.971890580006967,0.026,0.234,1,"C_5","AGAP006819"
"AGAP002192",0.00490627947986795,-0.996753348672132,0.026,0.234,1,"C_5","AGAP002192"
"AGAP003371",0.00490627947986795,-1.43141551764912,0.026,0.234,1,"C_5","AGAP003371"
"AGAP028871.1",0.00491432800560184,-0.442319326463144,0.053,0.285,1,"C_5","AGAP028871"
"AGAP010934.1",0.00492363085979791,0.258592303317823,0.105,0.388,1,"C_5","AGAP010934"
"AGAP010588.2",0.00493681138465331,0.591163458179202,0.132,0.439,1,"C_5","AGAP010588"
"AGAP005781.1",0.00494254197578551,-0.664352942261738,0.053,0.276,1,"C_5","AGAP005781"
"AGAP004890.1",0.00496713232587292,0.988842987641311,0.211,0.612,1,"C_5","AGAP004890"
"AGAP004798.2",0.00498871937002737,-0.340913286901187,0.184,0.514,1,"C_5","AGAP004798"
"AGAP004906.1",0.00501227365127887,-0.361446989986393,0.053,0.285,1,"C_5","AGAP004906"
"AGAP007310.2",0.00501227365127887,-0.714223543131936,0.053,0.285,1,"C_5","AGAP007310"
"AGAP003514.2",0.00502513558976167,-2.42814582997197,0.026,0.224,1,"C_5","AGAP003514"
"AGAP006613.1",0.00505599422105205,-0.433984328227952,0.132,0.411,1,"C_5","AGAP006613"
"AGAP002411",0.00512870196537011,-2.38364643611085,0,0.178,1,"C_5","AGAP002411"
"AGAP007877.2",0.00512870196537011,-2.70452438710306,0,0.178,1,"C_5","AGAP007877"
"AGAP002334",0.00512870196537011,-2.70657256715245,0,0.178,1,"C_5","AGAP002334"
"AGAP006645.1",0.00512870196537011,-2.76440329387536,0,0.178,1,"C_5","AGAP006645"
"AGAP004209.2",0.00512870196537011,-2.87933626910508,0,0.178,1,"C_5","AGAP004209"
"AGAP000792.1",0.00512870196537011,-2.91533678411423,0,0.178,1,"C_5","AGAP000792"
"AGAP003548.2",0.00512870196537011,-2.92487909723607,0,0.178,1,"C_5","AGAP003548"
"AGAP005778.1",0.00512870196537011,-2.93875227379661,0,0.178,1,"C_5","AGAP005778"
"AGAP011677.1",0.00512870196537011,-2.94636679344859,0,0.178,1,"C_5","AGAP011677"
"AGAP003613.2",0.00512870196537011,-2.95086807268146,0,0.178,1,"C_5","AGAP003613"
"AGAP000844.1",0.00512870196537011,-3.0101757925957,0,0.178,1,"C_5","AGAP000844"
"AGAP009462",0.00512870196537011,-3.12231640851034,0,0.178,1,"C_5","AGAP009462"
"AGAP006179.2",0.00512870196537011,-3.13685272426383,0,0.178,1,"C_5","AGAP006179"
"AGAP010852.2",0.00512870196537011,-3.16323723057314,0,0.178,1,"C_5","AGAP010852"
"AGAP004952.1",0.00512870196537011,-3.18039179623792,0,0.178,1,"C_5","AGAP004952"
"AGAP010171",0.00512870196537011,-3.19786090648184,0,0.178,1,"C_5","AGAP010171"
"AGAP008150.1",0.00512870196537011,-3.1996710117713,0,0.178,1,"C_5","AGAP008150"
"AGAP008497.1",0.00512870196537011,-3.22184594708631,0,0.178,1,"C_5","AGAP008497"
"AGAP001261.1",0.00512870196537011,-3.2222897922172,0,0.178,1,"C_5","AGAP001261"
"AGAP012195.2",0.00512870196537011,-3.24360690300766,0,0.178,1,"C_5","AGAP012195"
"AGAP011729.1",0.00512870196537011,-3.24596789762236,0,0.178,1,"C_5","AGAP011729"
"AGAP011111.2",0.00512870196537011,-3.26540138121246,0,0.178,1,"C_5","AGAP011111"
"AGAP006951.2",0.00512870196537011,-3.28325977065901,0,0.178,1,"C_5","AGAP006951"
"AGAP004640.1",0.00512870196537011,-3.28845209592697,0,0.178,1,"C_5","AGAP004640"
"AGAP008778.1",0.00512870196537011,-3.30181328541164,0,0.178,1,"C_5","AGAP008778"
"AGAP005240.2",0.00512870196537011,-3.30466549246252,0,0.178,1,"C_5","AGAP005240"
